"","V1","V2"
"242",440.031308524402,115.026598025555
"243",440.001973172625,114.678805700945
"244",439.790680145587,114.990726055204
"245",439.876561788934,114.712928486731
"246",439.987104068369,114.831417070794
"247",440.588028749659,114.750434834602
"248",440.894857729527,114.75877899127
"249",440.999436985094,114.661234679258
"250",441.696237253582,114.978664190833
"251",439.343696494911,115.587999378074
"252",439.291457810764,115.195553632079
"253",439.384993063727,115.612085124337
"254",439.387679591983,115.493103179823
"255",439.391585948619,115.260135263529
"256",439.805856861149,115.571326796174
"257",439.746105717121,115.322314263064
"258",440.240351353049,115.346592084713
"259",440.505828169848,115.345983977754
"260",441.19189191805,115.206921781622
"261",440.98068101364,115.219884597206
"262",440.915628997468,115.42035891672
"263",441.455156806948,115.540876837656
"264",451.653968749194,115.567787170502
"265",440.310969256887,115.770571329839
"266",440.334119442593,115.663263751868
"267",441.027273673656,115.720679823518
"268",439.547575187146,116.219874410516
"269",439.345214482838,116.312596417706
"270",440.134538445364,116.510521455294
"271",441.718255019373,116.156106233922
"272",441.764453833898,116.326508605712
"273",441.969883187998,116.341372931585
"274",442.369166125402,116.448708066227
"275",442.329681397507,116.474802052112
"276",436.49057475766,116.991361585771
"277",442.150429478705,116.853959259436
"278",442.22504204416,116.876409440626
"279",442.809278999081,116.973279131552
"280",443.025369340529,116.742034986358
"281",443.332134688248,117.100366723816
"282",437.329666224516,117.430139811918
"283",440.484738158037,117.416090403892
"284",441.137327593959,117.220075661874
"285",442.030683251422,117.277852285163
"286",441.756088985105,117.625751737132
"287",442.454524254518,117.45064749997
"288",442.645319140491,117.369613436841
"289",437.74877568716,117.981735416896
"290",439.831734222102,117.976466688885
"291",443.029991667576,117.987985343299
"292",444.351905489083,117.936631103255
"293",445.080999112197,117.918599351634
"294",441.357412288872,118.216284963976
"295",441.925130850843,118.494313931418
"296",442.546201000897,118.545936749525
"297",442.673265726048,118.4236333661
"298",444.411468659503,118.70484224006
"299",441.864382306089,119.235857082041
"300",446.279255103761,130.481386371165
"301",446.528304890705,142.550248344404
"302",436.753605473995,143.293427426693
"303",435.541996480407,143.974811275232
"304",459.103941513783,101.420812913425
"305",454.485943479788,104.005435877222
"306",452.43609360149,108.000802272674
"307",449.818288420535,110.373092488012
"308",439.73865082648,113.125632072076
"309",441.995259211141,113.039440965954
"310",439.966648259175,113.565220693335
"311",441.634612338825,113.172528907749
"312",439.795810640881,113.856423864117
"313",441.211773558961,114.024259678646
"314",441.482732536596,113.829732909076
"315",441.496139546366,114.200918927415
"316",442.146387779013,114.584307056478
"317",442.260925522282,114.32394369759
"318",451.998225231979,114.381459494796
"319",442.195946497934,114.68751281835
"320",442.336169251449,114.913738390523
"321",439.823549005062,115.310821161465
"322",441.184533496944,115.751433734176
"323",440.182711187725,116.446113475923
"324",441.278384443348,116.615892139705
"325",441.65650919962,116.190389282279
"326",441.858404440664,116.210215548728
"327",440.515384367409,116.807418521004
"328",441.717946635767,116.974555191094
"329",441.609294285274,116.74797277837
"330",441.484219652809,116.91480299828
"331",442.092668852744,116.648376674833
"332",441.791425378968,117.013804866792
"333",442.250267840082,116.721547445142
"334",447.913316022231,117.102188220107
"335",442.914454757327,117.151430440809
"336",442.536026552527,117.660701101505
"337",444.204692426578,117.965252187661
"338",442.479629952901,118.631235494603
"339",443.685790824679,118.237366994004
"340",443.828984022232,120.449632293055
"341",444.688768365978,120.445274738454
"342",470.333259223935,106.164840606366
"343",439.688148489896,107.795681698573
"344",475.238379259336,108.213307841075
"345",437.848817773371,137.935718304803
"346",437.435370797267,140.206068951612
"347",438.422299388538,143.92283644548
"348",460.020693818432,99.2679637574813
"349",459.768247267556,100.627047056075
"350",459.88939456092,100.282784704211
"351",465.470938363437,102.83834643776
"352",450.932661845906,104.252242051157
