"","V1","V2","V3"
"1013",207,581,580
"1014",486,580,582
"1015",299,581,207
"1016",582,581,487
"1017",582,487,705
"1018",486,582,337
"1019",621,622,777
"1020",402,618,411
"1021",499,584,253
"1022",490,493,584
"1023",528,686,689
"1024",251,693,232
"1025",511,586,245
"1026",585,586,512
"1027",694,587,477
"1028",587,332,588
"1029",697,588,316
"1030",588,518,695
"1031",589,697,570
"1032",700,723,761
"1033",520,590,507
"1034",485,590,523
"1035",522,524,591
"1036",591,524,594
"1037",696,723,515
"1038",565,630,634
"1039",567,640,642
"1040",663,647,662
"1041",699,594,524
"1042",535,594,533
"1043",647,657,662
"1044",604,119,602
"1045",725,599,596
"1046",596,544,598
"1047",726,270,364
"1048",729,600,597
"1049",603,598,544
"1050",598,603,601
"1051",725,596,270
"1052",600,599,597
"1053",739,595,661
"1054",768,765,767
"1055",1,601,120
"1056",2,598,601
"1057",603,544,604
"1058",602,603,604
"1059",603,602,120
"1060",544,600,604
"1061",770,604,600
"1062",172,285,605
"1063",373,605,285
"1064",171,606,422
"1065",191,550,606
"1066",608,302,424
"1067",609,607,551
"1068",563,608,424
"1069",551,607,608
"1070",611,551,613
"1071",609,380,383
"1072",612,610,142
"1073",380,609,610
"1074",614,611,143
"1075",142,610,611
"1076",612,142,702
"1077",351,384,615
"1078",608,613,551
"1079",143,613,563
"1080",614,143,174
"1081",142,614,124
"1082",610,615,380
"1083",351,615,612
"1084",617,616,408
"1085",402,616,554
"1086",624,408,557
"1087",337,554,617
"1088",554,619,618
"1089",621,623,619
"1090",337,619,554
"1091",621,583,705
"1092",643,641,645
"1093",618,619,623
"1094",621,705,622
"1095",620,623,621
"1096",706,778,764
"1097",764,487,707
"1098",567,636,637
"1099",637,636,411
"1100",617,624,337
"1101",625,624,557
"1102",624,625,486
"1103",557,558,626
"1104",301,748,749
"1105",749,626,106
"1106",236,627,208
"1107",106,301,749
"1108",628,562,730
"1109",581,707,487
"1110",630,629,452
"1111",453,629,565
"1112",633,632,462
"1113",630,462,632
"1114",672,663,664
"1115",672,676,631
"1116",633,462,460
"1117",634,632,631
"1118",638,709,460
"1119",672,708,593
"1120",670,672,664
"1121",724,775,759
"1122",640,567,637
"1123",633,635,648
"1124",637,411,623
"1125",567,709,638
"1126",646,620,757
"1127",643,639,640
"1128",460,461,710
"1129",409,636,638
"1130",640,646,643
"1131",647,650,651
"1132",637,623,646
"1133",640,639,642
"1134",644,645,652
"1135",713,652,653
"1136",650,642,639
"1137",642,650,648
"1138",646,640,637
"1139",652,641,757
"1140",655,651,654
"1141",645,654,643
"1142",641,646,757
"1143",654,651,639
"1144",620,646,623
"1145",643,646,641
"1146",654,639,643
"1147",651,657,647
"1148",648,593,708
"1149",635,642,648
"1150",649,776,732
"1151",649,653,652
"1152",651,650,639
"1153",648,650,647
"1154",148,716,666
"1155",657,651,658
"1156",641,652,645
"1157",732,742,649
"1158",158,712,653
"1159",148,713,712
"1160",645,644,654
"1161",654,644,719
"1162",658,655,665
"1163",658,656,657
"1164",534,667,673
"1165",664,667,529
