"","V1","V2","V3"
"1280",719,761,739
"1281",693,853,687
"1282",724,726,723
"1283",761,762,739
"1284",791,794,782
"1285",699,811,697
"1286",707,718,717
"1287",701,702,699
"1288",721,728,718
"1289",719,739,710
"1290",700,701,699
"1291",716,734,715
"1292",733,869,819
"1293",718,748,717
"1294",653,654,652
"1295",711,719,710
"1296",697,811,741
"1297",676,710,709
"1298",729,730,728
"1299",666,670,669
"1300",814,815,812
"1301",643,644,642
"1302",676,709,674
"1303",706,835,645
"1304",106,623,107
"1305",647,649,648
"1306",731,754,730
"1307",692,696,690
"1308",98,624,99
"1309",690,863,688
"1310",698,699,697
"1311",736,738,713
"1312",692,697,696
"1313",651,653,652
"1314",697,741,696
"1315",676,711,710
"1316",675,676,674
"1317",662,674,619
"1318",686,859,693
"1319",691,692,690
"1320",675,877,676
"1321",742,769,732
"1322",707,721,718
"1323",93,625,92
"1324",762,820,739
"1325",700,732,701
"1326",14,850,15
"1327",689,690,688
"1328",102,607,103
"1329",88,613,87
"1330",91,617,90
"1331",85,619,84
"1332",678,715,679
"1333",729,760,731
"1334",99,665,100
"1335",644,782,642
"1336",662,675,674
"1337",698,700,699
"1338",85,662,619
"1339",758,789,757
"1340",649,651,650
"1341",727,777,746
"1342",692,698,697
"1343",870,871,716
"1344",722,723,673
"1345",670,720,673
"1346",100,616,101
"1347",733,819,780
"1348",687,688,682
"1349",807,813,808
"1350",671,678,672
"1351",689,691,690
"1352",670,671,669
"1353",623,916,862
"1354",666,669,667
"1355",96,632,97
"1356",108,630,109
"1357",104,615,105
"1358",678,679,672
"1359",721,729,728
"1360",687,689,688
"1361",681,708,686
"1362",731,755,754
"1363",712,713,695
"1364",653,772,658
"1365",720,858,722
"1366",737,756,736
"1367",729,731,730
"1368",714,736,713
"1369",694,695,691
"1370",698,869,700
"1371",700,869,733
"1372",679,680,672
"1373",744,745,737
"1374",121,770,120
"1375",679,681,680
"1376",763,766,764
"1377",766,768,764
"1378",748,750,749
"1379",819,825,780
"1380",115,621,114
"1381",677,772,653
"1382",83,631,82
"1383",700,733,732
"1384",734,740,715
"1385",748,749,717
"1386",686,687,682
"1387",807,816,813
"1388",689,694,691
"1389",10,622,11
"1390",687,853,689
"1391",686,693,687
"1392",694,759,712
"1393",681,682,680
"1394",724,727,726
"1395",763,764,744
"1396",743,763,744
"1397",717,834,705
"1398",681,686,682
"1399",707,717,705
"1400",694,712,695
"1401",839,938,677
"1402",95,633,94
"1403",651,677,653
"1404",643,706,645
"1405",661,666,663
"1406",708,859,686
"1407",712,714,713
"1408",722,724,723
"1409",836,837,751
"1410",733,780,742
"1411",743,744,737
"1412",714,743,737
"1413",720,722,673
"1414",714,737,736
"1415",759,823,712
"1416",750,836,751
"1417",671,672,669
"1418",751,774,749
"1419",129,618,128
"1420",659,661,660
"1421",792,804,802
"1422",798,817,794
"1423",772,773,658
"1424",793,799,795
"1425",727,876,778
"1426",750,751,749
"1427",660,809,657
"1428",666,667,663
"1429",745,821,758
"1430",733,742,732
"1431",647,685,649
"1432",722,725,724
"1433",24,620,25
"1434",752,786,784
"1435",810,814,812
"1436",799,800,795
"1437",621,913,767
"1438",663,664,660
"1439",661,663,660
"1440",727,778,777
"1441",654,659,657
"1442",793,795,792
"1443",833,852,762
"1444",621,767,114
"1445",792,802,771
"1446",821,822,758
"1447",659,660,657
"1448",845,846,844
"1449",845,884,846
"1450",778,783,779
"1451",780,787,742
"1452",724,876,727
"1453",722,858,725
"1454",24,842,620
"1455",684,707,705
"1456",116,866,115
"1457",774,834,749
"1458",778,779,777
"1459",13,844,14
"1460",680,865,672
"1461",642,843,618
"1462",122,880,605
"1463",810,812,809
"1464",823,922,824
"1465",752,784,684
"1466",688,864,682
"1467",641,643,642
"1468",775,952,857
"1469",22,854,610
"1470",605,770,121
"1471",25,860,26
"1472",84,831,83
"1473",771,874,770
"1474",842,919,620
"1475",723,870,673
"1476",832,833,762
"1477",641,642,618
"1478",789,886,881
