"","V1"
"328",0.0975202629671644
"329",0.113915495838691
"330",0.107954583244584
"331",0.525754588425261
"332",0.509483010837914
"333",0.490409444039521
"334",0.466745605243644
"335",0.342380035406936
"336",0.328799862574726
"337",0.578860027554342
"338",0.568023364401997
"339",0.576352818679108
"340",0.545599194880886
"341",0.4692990562344
"342",0.433971903461634
"343",0.412310860267519
"344",0.539997888814882
"345",0.341122189464051
"346",0.333107636970888
"347",0.279746858869289
"348",0.237819931413061
"349",0.22452978210616
"350",0.253513232527484
"351",0.181100341519753
"352",0.159545133980316
"353",0.138854751206862
"354",0.121192623289781
"355",0.110756554739008
"356",0.10278321181058
"357",0.0954615733094038
"358",0.442271140130166
"359",0.355649882050309
"360",0.383141658695243
"361",0.324221531917523
"362",0.305906451812476
"363",0.248940416613365
"364",0.222417902022554
"365",0.278290128972906
"366",0.267711808219128
"367",0.637108298455199
"368",0.655188863350334
"369",0.673328781041138
"370",0.688362920344551
"371",0.69975189013492
"372",0.710376906261563
"373",0.694608863579444
"374",0.589894218116211
"375",0.560167556739654
"376",0.565346356856753
"377",0.567976156877724
"378",0.702564487431908
"379",0.820934092625147
"380",0.804310052811041
"381",0.355142989749155
"382",0.323525311758056
"383",0.320615065121568
"384",0.301697525655361
"385",0.295817148119953
"386",0.382795783303621
"387",0.356952560182594
"388",0.26402426112865
"389",0.250541873399534
"390",0.202184067803009
"391",0.22259329679584
"392",0.497253194669574
"393",0.454029850346412
"394",0.473379461300492
"395",0.45829664939823
"396",0.558093279244267
"397",0.50774130950449
"398",0.467680732419416
"399",0.437949044787609
"400",0.445380658988896
"401",0.436208933935676
"402",0.128303503846044
"403",0.113205477058138
"404",0.160848761532807
"405",0.144223591142843
"406",0.484516652003336
"407",0.496557010141585
"408",0.511411851278905
"409",0.534988075633349
"410",0.566425811487158
"411",0.607118489769593
"412",0.658108987693802
"413",0.646516224472822
"414",0.661745895861991
"415",0.477745775668113
"416",0.126843971121938
"417",0.127279796261968
"418",0.136805763188677
"419",0.40900859254764
"420",0.407891433915209
"421",0.501573690453476
"422",0.496302286121346
"423",0.335140042579328
"424",0.358753889930476
"425",0.481868725810764
"426",0.466468204539717
"427",0.417267126335475
"428",0.411680720091304
"429",0.422366031074992
"430",0.408303206665272
"431",0.386513932651178
"432",0.381427429444914
"433",0.516270485232711
"434",0.622655439389853
"435",0.66418848546394
"436",0.621575791128205
"437",0.622646032212201
"438",0.629934837011512
"439",0.634447387054308
"440",0.716244697832955
"441",0.691919674289688
"442",0.708637212424615
"443",0.708157507624217
"444",0.704857470668197
"445",0.933689269949344
"446",0.958555322974393
"447",0.69186798444501
"448",0.40452638307958
"449",0.4500036554517
"450",0.429842436844645
"451",0.123456879333333
"452",0.158989192763283
"453",0.11391524866367
"454",0.104533950597629
"455",0.100381105232236
"456",0.0965753465104931
"457",0.158903250130885
"458",0.394928930107005
"459",0.405567584395941
"460",0.396438604268679
"461",0.392635661887709
"462",0.428497545440526
"463",0.422594578766875
"464",0.408250966140516
"465",0.665252241219245
"466",0.119504408253375
"467",0.118956683116311
"468",0.306797914528904
"469",0.311231684580567
"470",0.463996187550006
"471",0.456707056382901
"472",0.451300400013595
"473",0.333309639209454
"474",0.53914576977664
"475",0.60334868553551
"476",0.563777727513023
"477",0.549281569182137
"478",0.532245583137635
"479",0.537314055782443
"480",0.563750355748686
"481",1.13057191222775
"482",0.975120596203366
"483",0.910303490986978
"484",0.437992401081158
"485",0.436509756979978
"486",0.439510719424393
"487",0.446409655484024
"488",0.450743761914794
"489",0.42519322168819
"490",0.407571937739693
"491",0.471337801115987
"492",0.462291956790671
"493",0.423789044399775
"494",0.425837212342946
"495",0.469953517435146
"496",0.516256625519517
"497",0.475981649503025
